aX,aY,aZ,gX,gY,gZ
1.998,0.607,0.105,31.372,-91.125,-48.096
2.266,0.734,0.187,21.912,-90.271,-46.509
2.101,0.886,0.323,17.151,-93.567,-38.513
2.141,1.061,0.446,16.541,-91.003,-39.246
2.279,1.085,0.596,19.714,-85.266,-51.758
2.323,1.035,0.773,25.330,-69.458,-63.599
2.392,1.050,0.852,25.208,-47.302,-70.435
2.325,1.056,0.874,15.381,-26.123,-70.618
2.270,1.074,0.850,-1.282,-4.578,-67.688
2.223,1.146,0.815,-19.592,12.634,-62.805
2.149,1.253,0.789,-37.292,27.222,-57.373
2.115,1.374,0.744,-54.443,38.452,-55.542
2.013,1.520,0.685,-67.505,48.279,-56.152
1.894,1.660,0.621,-75.256,56.885,-61.157
1.835,1.808,0.556,-79.163,62.683,-71.289
1.626,1.832,0.575,-78.979,68.542,-81.299
1.507,1.710,0.646,-82.397,76.355,-96.313
1.452,1.544,0.689,-95.459,87.952,-107.788
1.307,1.316,0.662,-115.173,102.295,-110.718
1.142,1.162,0.589,-135.925,118.103,-106.567
1.025,1.108,0.487,-151.306,126.465,-103.271
0.900,1.006,0.430,-159.546,127.380,-104.065
0.880,0.870,0.398,-164.978,126.709,-109.802
0.801,0.692,0.332,-168.335,125.977,-114.258
0.739,0.498,0.243,-168.884,126.221,-118.347
0.646,0.270,0.177,-166.565,124.207,-121.216
0.594,-0.005,0.109,-166.687,119.690,-121.826
0.508,-0.239,0.056,-169.189,112.366,-116.760
0.398,-0.382,0.131,-167.297,100.525,-107.117
0.295,-0.439,0.283,-162.659,83.679,-97.351
0.290,-0.507,0.359,-153.931,68.054,-93.872
0.289,-0.554,0.367,-137.695,61.523,-93.567
0.252,-0.628,0.425,-118.958,59.082,-93.018
0.233,-0.725,0.408,-110.840,57.922,-91.614
0.216,-0.855,0.342,-113.464,58.594,-85.571
0.174,-0.915,0.242,-115.356,58.655,-74.280
0.099,-0.901,0.139,-109.009,52.673,-64.331
0.093,-0.876,0.046,-97.351,42.297,-59.143
0.103,-0.843,-0.036,-82.458,26.978,-57.251
0.112,-0.811,-0.060,-64.758,9.888,-57.861
0.169,-0.827,0.039,-46.692,-2.197,-57.922
0.271,-0.841,0.123,-35.889,-5.310,-53.345
0.294,-0.819,0.128,-36.011,1.221,-40.771
0.327,-0.802,0.075,-43.091,11.414,-26.062
0.385,-0.785,-0.017,-49.805,19.409,-12.085
0.419,-0.746,-0.126,-50.171,24.475,-0.549
0.462,-0.675,-0.209,-44.189,24.048,9.155
0.433,-0.589,-0.272,-36.194,17.639,16.724
0.469,-0.484,-0.267,-29.419,10.925,21.118
0.541,-0.414,-0.231,-26.184,4.822,24.048
0.585,-0.339,-0.218,-25.696,2.991,27.649
0.615,-0.284,-0.206,-22.766,5.615,30.396
0.661,-0.236,-0.218,-18.616,8.423,31.372
0.717,-0.179,-0.262,-16.296,9.521,31.982
0.746,-0.110,-0.297,-14.954,9.827,32.471
0.756,-0.040,-0.310,-12.634,7.935,31.921
0.771,0.010,-0.303,-10.925,4.150,28.809
0.785,0.026,-0.276,-9.033,0.000,23.987
0.813,0.007,-0.246,-6.653,-2.380,18.250
0.834,-0.028,-0.251,-4.150,-2.075,13.184
0.854,-0.104,-0.265,2.625,-0.549,8.118
0.880,-0.086,-0.244,7.629,-0.549,7.324
0.904,-0.060,-0.234,10.986,-0.732,6.897
0.927,-0.026,-0.246,10.681,0.000,5.920
0.947,-0.019,-0.280,8.362,2.380,4.578
0.958,-0.035,-0.333,5.310,5.310,3.601
0.937,-0.030,-0.379,2.502,7.141,4.272
0.910,-0.021,-0.397,0.916,5.432,5.066
0.898,-0.016,-0.391,1.282,1.282,4.150
0.901,-0.008,-0.364,3.540,-4.395,2.319
0.933,-0.017,-0.315,6.775,-9.338,-0.549
0.972,-0.039,-0.271,9.460,-10.864,-2.625
0.984,-0.042,-0.240,10.315,-9.827,-2.686
0.988,-0.047,-0.219,7.751,-7.935,-2.075
0.979,-0.044,-0.222,2.502,-5.188,-0.488
0.956,-0.036,-0.254,-1.404,-2.930,0.793
0.946,-0.050,-0.282,-2.625,-1.953,0.732
0.936,-0.078,-0.293,-0.366,-3.357,-0.305
0.948,-0.109,-0.284,3.662,-5.554,-1.099
0.962,-0.129,-0.270,5.798,-7.202,-0.549
0.950,-0.119,-0.255,5.493,-8.606,1.953
0.948,-0.087,-0.253,3.357,-9.094,4.150
0.938,-0.057,-0.255,1.038,-8.728,4.883
0.934,-0.033,-0.251,0.977,-8.545,4.456
0.949,-0.025,-0.243,1.282,-8.484,3.418
0.965,-0.038,-0.242,1.343,-7.385,2.380
0.975,-0.055,-0.236,0.793,-5.859,2.502
0.974,-0.068,-0.230,0.244,-4.639,3.052
0.974,-0.068,-0.229,0.549,-2.930,4.333
0.973,-0.055,-0.233,1.099,-2.197,5.432
0.974,-0.034,-0.232,1.892,-1.282,6.042
