aX,aY,aZ,gX,gY,gZ
-0.070,0.572,0.326,-22.400,-31.189,2.930
-0.033,0.578,0.293,-18.311,-29.175,6.775
-0.033,0.630,0.240,-11.230,-25.269,10.376
-0.057,0.706,0.171,-3.845,-22.339,12.207
-0.052,0.741,0.126,-0.244,-20.569,11.658
-0.054,0.750,0.088,-2.441,-22.949,12.024
-0.059,0.757,0.054,-7.202,-29.175,12.817
-0.048,0.765,0.050,-10.010,-35.767,11.902
-0.017,0.793,0.039,-14.038,-43.518,10.132
0.030,0.777,0.014,-18.005,-50.842,7.996
0.093,0.712,0.010,-17.578,-55.298,5.127
0.155,0.652,0.012,-10.803,-57.617,1.953
0.204,0.642,0.026,-0.244,-58.350,-0.305
0.238,0.696,0.029,7.385,-59.937,-2.441
0.256,0.753,0.014,6.531,-64.880,-2.991
0.295,0.777,-0.018,-3.235,-71.838,-1.404
0.349,0.780,-0.060,-16.235,-79.773,0.244
0.429,0.767,-0.093,-25.330,-87.097,0.793
0.494,0.779,-0.085,-28.503,-90.698,1.587
0.520,0.823,-0.096,-26.550,-92.041,1.465
0.523,0.833,-0.118,-20.996,-94.055,-1.343
0.520,0.829,-0.109,-14.526,-96.985,-5.554
0.497,0.859,-0.084,-8.850,-102.661,-10.925
0.537,0.861,-0.043,-4.883,-108.887,-17.944
0.658,0.802,0.009,-3.235,-113.708,-23.621
0.779,0.747,0.080,-1.038,-116.028,-26.428
0.868,0.751,0.160,3.784,-116.882,-27.710
0.944,0.748,0.226,7.812,-115.784,-29.297
0.992,0.713,0.308,11.475,-109.558,-29.907
0.972,0.723,0.334,12.817,-107.910,-30.579
0.989,0.713,0.382,13.245,-107.422,-33.203
1.074,0.752,0.471,13.000,-105.591,-36.865
1.175,0.758,0.564,10.498,-103.821,-40.466
1.258,0.758,0.634,6.531,-98.633,-40.833
1.321,0.754,0.719,6.409,-90.515,-41.565
1.389,0.811,0.707,8.606,-80.994,-45.837
1.472,0.792,0.742,11.169,-68.420,-40.405
1.242,0.690,0.601,1.831,-62.073,-33.508
1.299,0.702,0.543,0.488,-53.528,-39.917
1.303,0.666,0.571,8.789,-36.194,-38.147
1.244,0.755,0.506,11.414,-31.982,-36.438
1.270,0.740,0.510,10.254,-27.771,-38.147
1.290,0.707,0.491,7.629,-23.376,-39.185
1.263,0.669,0.466,7.629,-19.409,-36.377
1.244,0.684,0.479,11.414,-13.123,-34.851
1.199,0.672,0.488,13.000,-7.874,-32.410
1.144,0.660,0.490,10.010,-3.235,-28.320
1.074,0.649,0.471,6.104,2.625,-23.010
1.008,0.639,0.434,1.648,8.179,-17.700
0.955,0.628,0.398,-2.991,12.573,-12.451
0.910,0.623,0.358,-7.935,15.381,-7.629
0.865,0.623,0.314,-11.047,16.174,-3.479
0.828,0.629,0.280,-12.146,16.296,-1.160
0.798,0.629,0.260,-10.071,16.541,-0.366
0.778,0.626,0.257,-5.066,17.334,-0.854
0.749,0.628,0.255,0.427,19.226,-1.587
0.718,0.639,0.250,4.456,20.508,-1.343
0.695,0.647,0.253,5.371,20.447,-0.122
0.668,0.672,0.261,3.784,19.897,2.075

0.187,1.348,1.061,132.385,-57.068,198.120
0.203,1.438,1.046,143.860,-42.236,186.707
0.230,1.649,1.085,145.874,-38.818,180.908
0.282,1.873,1.191,133.118,-39.856,180.115
0.347,2.081,1.266,110.596,-39.124,180.237
0.386,2.194,1.260,90.759,-32.593,176.270
0.402,2.276,1.236,81.299,-22.583,166.565
0.428,2.400,1.227,76.538,-13.428,152.954
0.454,2.523,1.243,68.054,-5.188,139.526
0.551,2.584,1.341,53.833,4.089,127.380
0.510,2.682,1.246,35.156,3.052,116.150
0.509,2.725,1.223,19.226,16.602,103.638
0.565,2.693,1.197,9.888,36.804,84.412
0.537,2.629,1.087,-0.549,42.542,65.063
0.520,2.544,1.030,-12.085,49.622,50.659
0.426,2.423,0.912,-24.414,52.979,36.316
0.436,2.274,0.888,-32.349,59.875,21.179
0.405,2.153,0.831,-38.147,63.721,7.446
0.388,2.036,0.794,-44.617,62.073,-4.944
0.388,1.912,0.773,-53.284,58.105,-16.113
0.434,1.775,0.863,-63.477,54.688,-24.231
0.202,1.659,0.621,-75.378,55.969,-30.334
0.348,1.508,0.700,-74.219,86.609,-44.800
0.413,1.426,0.654,-70.435,85.815,-51.331
0.263,1.339,0.563,-81.787,65.002,-46.204
0.200,1.296,0.454,-96.924,51.758,-45.471
0.186,1.205,0.400,-104.431,61.401,-46.936
0.185,1.139,0.354,-105.103,72.327,-51.086
0.157,1.088,0.263,-102.478,67.688,-57.739
0.110,1.014,0.224,-99.060,58.411,-63.538
0.078,0.906,0.228,-97.046,49.500,-68.665
0.098,0.804,0.278,-93.689,44.250,-72.144
0.061,0.733,0.268,-88.745,43.457,-74.158
0.020,0.675,0.239,-85.266,43.823,-75.317
0.003,0.597,0.236,-84.351,44.495,-74.219
-0.032,0.508,0.217,-85.632,42.664,-69.885
-0.073,0.442,0.203,-85.999,40.100,-65.002
-0.112,0.403,0.178,-83.557,37.048,-62.378
-0.157,0.337,0.136,-78.247,32.104,-62.012
-0.183,0.248,0.137,-66.956,28.137,-63.049
-0.194,0.213,0.118,-49.377,22.461,-66.895
-0.173,0.182,0.145,-32.349,17.822,-69.458
-0.185,0.175,0.131,-21.912,12.390,-67.139
-0.148,0.140,0.167,-17.456,10.437,-61.401
-0.136,0.162,0.173,-17.639,3.784,-53.711
-0.158,0.198,0.154,-20.935,-1.953,-41.931
-0.176,0.243,0.154,-25.330,0.244,-30.457
-0.179,0.302,0.166,-29.724,-1.160,-20.996
-0.194,0.351,0.146,-32.043,-7.446,-13.489
-0.232,0.370,0.131,-30.273,-12.939,-7.690
-0.235,0.396,0.150,-23.621,-16.113,-5.432
-0.218,0.433,0.164,-14.954,-22.705,-6.287
-0.221,0.498,0.169,-7.568,-28.442,-6.226
-0.191,0.571,0.184,-3.906,-32.532,-5.249
-0.160,0.609,0.197,-7.812,-36.316,-2.258
-0.149,0.636,0.194,-17.273,-42.358,4.456
-0.144,0.674,0.186,-25.146,-46.387,11.536
-0.146,0.693,0.181,-27.832,-46.997,15.747
-0.159,0.704,0.155,-25.635,-49.683,15.991
-0.159,0.701,0.131,-19.897,-52.002,13.367
-0.124,0.699,0.098,-12.329,-53.284,8.972
-0.055,0.656,0.082,-5.066,-54.688,3.601
-0.002,0.599,0.082,1.282,-58.411,-0.610
0.054,0.568,0.080,5.737,-61.707,-2.197
0.113,0.527,0.056,8.850,-62.744,-2.441
0.131,0.512,0.003,7.568,-63.599,1.343
0.107,0.564,-0.091,2.319,-66.406,7.690
0.102,0.620,-0.200,-3.235,-72.327,10.986
0.128,0.631,-0.300,-6.897,-79.712,11.597
0.153,0.622,-0.362,-6.287,-89.844,9.827
0.164,0.644,-0.348,0.732,-101.379,6.531
0.180,0.674,-0.302,12.329,-112.732,1.404
0.228,0.705,-0.189,24.780,-122.681,-4.944
0.276,0.754,-0.077,32.715,-131.836,-11.230
0.357,0.826,0.036,36.560,-137.878,-17.944
0.456,0.821,0.134,36.133,-141.479,-24.170
0.566,0.774,0.203,33.264,-142.639,-27.954
0.667,0.736,0.296,33.630,-140.747,-30.701
0.742,0.757,0.410,35.339,-139.587,-32.471
0.768,0.799,0.495,33.447,-140.137,-31.860
0.850,0.845,0.651,29.724,-135.925,-31.067
0.921,0.886,0.750,24.414,-136.353,-32.593
1.004,0.866,0.836,21.912,-133.728,-35.645
1.111,0.844,0.917,26.245,-125.366,-41.565
1.216,0.818,1.001,34.119,-114.685,-48.706
1.226,0.844,0.993,37.659,-104.797,-54.382
1.340,0.806,1.087,37.415,-85.693,-49.194
1.221,0.746,1.073,22.339,-77.515,-41.382
1.187,0.852,0.924,4.883,-87.708,-41.931
1.234,0.802,0.968,-1.587,-64.148,-37.170
1.226,0.796,0.859,-7.080,-52.917,-33.875
1.226,0.750,0.783,-7.629,-48.035,-34.546
1.233,0.734,0.756,-2.136,-38.330,-35.645
1.234,0.749,0.747,2.869,-28.259,-35.034
1.213,0.772,0.733,4.578,-19.409,-32.959
1.164,0.780,0.708,1.404,-12.573,-29.053
1.090,0.789,0.671,-2.502,-6.470,-24.536
1.019,0.803,0.631,-4.883,-1.160,-22.339
0.962,0.764,0.586,-6.226,3.357,-21.545
0.910,0.712,0.530,-5.981,7.385,-21.057
0.868,0.688,0.480,-3.418,10.071,-21.240
0.843,0.674,0.447,-0.244,11.963,-21.851
0.833,0.657,0.435,1.892,12.756,-21.240
0.816,0.653,0.433,3.052,13.123,-19.043
0.793,0.655,0.434,3.906,14.038,-16.479
0.751,0.664,0.427,4.822,15.869,-14.160
0.715,0.665,0.412,4.333,17.456,-12.451
0.680,0.671,0.400,2.197,19.165,-10.193
0.660,0.671,0.385,-0.427,19.958,-8.057
0.643,0.662,0.376,-2.502,20.996,-6.042
0.623,0.654,0.360,-3.662,21.729,-4.150
0.601,0.656,0.340,-4.944,21.423,-2.686
0.581,0.668,0.313,-6.042,20.142,-1.221
0.567,0.669,0.289,-7.446,17.944,0.183
0.561,0.664,0.276,-7.568,15.442,1.282
0.550,0.665,0.264,-5.615,12.695,1.526
0.537,0.667,0.267,-3.540,9.888,1.282
0.535,0.675,0.296,-1.526,7.690,0.977
0.531,0.695,0.337,0.488,7.141,0.793

0.164,1.652,1.111,136.047,-63.416,181.946
0.197,1.839,1.157,126.831,-56.274,177.063
0.230,2.046,1.197,111.328,-53.223,173.706
0.274,2.214,1.221,94.116,-49.744,166.931
0.286,2.251,1.188,80.017,-43.213,155.762
0.287,2.216,1.119,74.951,-34.241,140.930
0.304,2.242,1.097,75.378,-25.574,125.427
0.297,2.269,1.085,68.787,-20.508,114.075
0.310,2.321,1.114,54.077,-18.372,106.201
0.347,2.431,1.174,33.569,-17.944,100.342
0.368,2.525,1.202,11.475,-15.991,93.689
0.386,2.584,1.212,-4.456,-8.362,81.055
0.435,2.637,1.228,-13.428,2.380,63.354
0.448,2.658,1.233,-22.461,12.451,46.021
0.439,2.643,1.232,-36.499,18.677,29.785
0.436,2.635,1.166,-52.551,26.062,13.794
0.483,2.508,1.173,-64.392,41.321,-0.854
0.488,2.455,1.040,-74.829,46.936,-17.029
0.486,2.287,0.961,-80.383,48.218,-32.532
0.430,2.129,0.793,-87.891,47.729,-45.837
0.438,1.920,0.696,-94.971,48.096,-58.411
0.428,1.728,0.621,-102.417,49.683,-66.040
0.379,1.593,0.549,-110.046,43.030,-70.801
0.312,1.450,0.490,-115.540,33.447,-75.745
0.281,1.295,0.514,-117.615,23.254,-81.604
0.289,1.114,0.599,-112.549,17.639,-89.539
0.301,0.987,0.680,-98.816,20.935,-98.633
0.247,0.887,0.658,-85.144,31.067,-106.567
0.229,0.740,0.612,-79.712,44.189,-109.314
0.188,0.542,0.502,-84.534,52.917,-105.835
0.146,0.379,0.369,-93.323,56.458,-95.520
0.071,0.327,0.253,-101.074,53.589,-81.360
-0.005,0.341,0.190,-106.018,45.776,-69.885
-0.053,0.374,0.112,-108.887,32.776,-65.857
-0.096,0.346,0.071,-108.276,18.677,-65.552
-0.124,0.265,0.086,-100.586,9.521,-67.261
-0.122,0.201,0.143,-82.031,8.850,-71.472
-0.140,0.193,0.185,-57.739,14.038,-78.186
-0.151,0.139,0.216,-39.978,20.752,-83.008
-0.182,0.081,0.166,-33.997,20.691,-82.214
-0.208,0.000,0.111,-35.522,18.433,-76.355
-0.195,-0.066,0.075,-35.889,15.869,-69.458
-0.205,-0.110,0.075,-31.372,7.446,-62.683
-0.251,-0.084,0.017,-27.222,-5.859,-53.284
-0.255,-0.090,0.029,-25.574,-6.714,-42.419
-0.244,-0.097,0.051,-23.499,-10.437,-33.813
-0.252,-0.061,0.059,-20.447,-20.081,-26.428
-0.255,-0.033,0.067,-14.099,-23.743,-18.799
-0.253,-0.024,0.070,-5.249,-26.733,-13.794
-0.246,0.003,0.067,4.211,-30.701,-9.888
-0.229,0.042,0.051,11.169,-36.133,-5.066
-0.215,0.092,0.047,10.864,-42.542,2.380
-0.207,0.160,0.052,2.319,-50.171,14.160
-0.192,0.222,0.057,-11.108,-57.983,27.588
-0.168,0.277,0.057,-22.949,-64.209,39.795
-0.163,0.360,0.046,-28.198,-69.824,48.767
-0.172,0.471,0.017,-26.001,-73.303,53.223
-0.166,0.568,0.000,-19.409,-73.242,53.040
-0.132,0.648,-0.023,-11.047,-75.928,48.645
-0.068,0.710,-0.016,-1.709,-79.529,42.908
-0.016,0.775,0.000,5.981,-83.557,37.903
0.058,0.839,0.044,8.911,-90.088,34.241
0.128,0.905,0.088,9.033,-95.398,31.738
0.176,0.970,0.106,8.606,-98.022,28.687
0.195,1.027,0.120,8.789,-99.548,23.315
0.250,1.043,0.120,10.315,-100.952,15.442
0.352,1.031,0.142,14.404,-99.915,6.226
0.435,1.039,0.155,20.996,-98.083,-2.930
0.514,1.078,0.191,25.452,-98.694,-10.010
0.580,1.087,0.234,22.949,-100.647,-16.418
0.658,1.057,0.294,17.029,-102.539,-20.874
0.703,1.025,0.346,11.780,-104.248,-24.231
0.765,0.991,0.418,10.803,-102.722,-29.236
0.822,0.960,0.480,15.442,-98.145,-37.415
0.910,0.936,0.566,21.606,-91.492,-46.753
0.994,0.904,0.641,23.926,-85.571,-54.504
1.067,0.874,0.671,22.888,-79.163,-59.082
1.138,0.876,0.690,20.081,-71.472,-60.913
1.221,0.863,0.714,17.273,-64.575,-62.744
1.195,0.749,0.670,14.465,-58.899,-63.782
1.364,0.824,0.699,15.503,-53.040,-67.078
1.305,0.773,0.724,12.085,-49.500,-59.387
1.238,0.774,0.645,3.235,-49.561,-61.279
1.311,0.740,0.688,4.883,-40.039,-66.528
1.292,0.767,0.683,9.766,-25.513,-65.369
1.257,0.788,0.636,12.451,-19.287,-65.918
1.245,0.757,0.599,12.085,-12.451,-68.298
1.225,0.706,0.547,9.766,-6.042,-67.749
1.203,0.631,0.500,8.118,-0.427,-65.063
1.179,0.568,0.480,7.629,3.113,-60.608
1.135,0.557,0.476,7.019,5.493,-54.443
1.077,0.572,0.456,4.211,6.775,-47.180
1.016,0.581,0.428,-2.625,5.920,-39.856
0.983,0.559,0.401,-10.132,5.005,-33.569
0.945,0.547,0.366,-12.756,5.066,-28.748
0.904,0.546,0.324,-10.681,5.188,-26.978
0.890,0.537,0.305,-6.714,4.883,-26.184
0.876,0.520,0.313,-3.601,5.920,-24.292
0.855,0.511,0.334,-0.061,7.812,-21.973
0.824,0.521,0.349,2.930,10.864,-18.799
0.779,0.554,0.346,3.967,13.611,-15.198
0.750,0.567,0.335,2.136,14.404,-12.146
0.732,0.557,0.317,-1.343,13.916,-9.216
0.719,0.546,0.299,-4.883,12.695,-5.859
0.708,0.537,0.286,-5.920,10.925,-3.601
0.698,0.539,0.281,-4.028,9.216,-2.380
0.688,0.548,0.285,-1.526,8.057,-1.160
0.675,0.568,0.296,0.854,6.592,-0.427
0.661,0.590,0.307,2.869,5.310,-0.061
0.651,0.615,0.314,2.991,4.089,0.671
0.638,0.624,0.307,1.465,2.869,1.892
0.636,0.617,0.297,0.183,1.953,2.808
