aX,aY,aZ,gX,gY,gZ
-0.671,-0.230,1.149,2.380,35.095,38.391
-0.897,-0.112,0.872,19.287,81.238,76.904
-1.640,0.361,0.338,22.339,83.801,105.713
-1.913,0.635,0.151,34.119,61.035,80.872
-1.811,0.506,0.291,59.387,37.476,29.358
-1.859,0.378,0.522,69.580,14.709,-1.343
-1.906,0.337,0.759,61.035,-0.671,-13.184
-1.954,0.246,0.895,49.438,-1.831,-21.912
-2.024,0.134,0.939,47.852,-1.099,-33.997
-2.002,0.025,1.054,52.490,-2.869,-52.551
-1.826,-0.174,1.154,48.706,-9.094,-76.416
-1.525,-0.470,1.280,40.955,-14.343,-93.506
-1.216,-0.589,1.300,40.405,-9.583,-94.360
-0.983,-0.610,1.189,57.800,4.944,-84.473
-0.856,-0.615,1.041,89.417,28.015,-70.007
-0.789,-0.563,0.899,110.718,40.955,-54.626
-0.702,-0.514,0.855,106.506,40.955,-38.757
-0.619,-0.429,0.899,75.378,28.015,-24.353
-0.551,-0.398,0.979,31.189,11.108,-10.986
-0.483,-0.324,1.036,-6.287,-0.305,3.601
-0.478,-0.148,1.083,-25.085,-5.676,16.907
-0.489,-0.043,1.121,-21.667,-7.324,21.179
-0.450,-0.012,1.187,-11.780,-6.958,19.409
-0.404,0.061,1.272,-8.545,-5.005,20.813
-0.391,0.180,1.313,-13.428,-2.197,22.400
-0.343,0.190,1.284,-19.714,2.319,18.494
-0.308,0.196,1.166,-22.644,9.033,15.869
-0.350,0.182,1.036,-20.813,12.878,15.442
-0.339,0.201,0.919,-17.883,11.597,12.329
-0.310,0.185,0.905,-14.465,7.812,10.559
-0.307,0.203,0.922,-12.512,0.916,8.423
-0.260,0.164,0.989,-10.437,-5.188,4.944
-0.237,0.135,1.053,-9.949,-9.521,2.991
-0.211,0.093,1.139,-10.803,-11.047,2.747
-0.177,0.097,1.167,-13.428,-7.446,4.456
-0.184,0.126,1.144,-12.878,-0.916,6.104
-0.186,0.133,1.108,-5.310,6.714,5.066
-0.181,0.172,1.068,7.202,13.245,2.930
-0.180,0.209,1.017,22.095,18.005,0.122
-0.158,0.198,0.968,33.508,20.142,-4.333
-0.156,0.151,0.908,34.607,19.104,-8.179
-0.133,0.098,0.848,27.405,15.198,-10.620
-0.100,0.023,0.832,19.043,11.292,-11.780
-0.090,-0.010,0.818,12.512,7.141,-11.780
-0.077,-0.011,0.826,10.132,2.808,-11.597
-0.076,0.002,0.843,11.780,-0.244,-12.085
-0.084,0.011,0.848,12.695,-1.892,-13.000
-0.089,-0.012,0.860,7.996,-3.174,-14.221
-0.091,-0.033,0.868,-3.113,-6.165,-13.794
-0.086,-0.073,0.891,-12.512,-9.827,-12.817
-0.074,-0.131,0.927,-15.747,-12.573,-11.414
-0.051,-0.148,0.969,-12.939,-13.245,-7.996
-0.054,-0.113,0.992,-6.104,-11.658,-4.272
-0.066,-0.071,1.000,3.174,-7.812,-2.136
-0.082,-0.015,0.994,12.390,-3.479,-0.977
-0.104,0.007,0.967,17.517,0.427,-1.160
-0.119,-0.006,0.938,16.724,2.258,-1.770
-0.101,-0.030,0.942,13.123,1.526,-1.892
-0.089,-0.043,0.964,8.789,-0.427,-1.892
-0.075,-0.088,0.996,4.578,-2.197,-2.319
-0.062,-0.098,0.996,0.916,-2.563,-0.610
-0.083,-0.059,0.965,0.244,-1.526,2.625
-0.100,-0.015,0.934,3.784,0.061,4.456
-0.114,0.022,0.927,8.606,0.061,3.845
-0.120,0.046,0.956,11.169,-0.977,1.770
-0.124,0.068,1.000,8.789,-2.747,-1.526
-0.116,0.068,1.024,3.235,-4.517,-4.944
-0.098,0.036,1.032,-1.404,-4.517,-8.850
-0.096,0.002,1.016,-4.639,-2.686,-9.949
-0.106,0.014,0.980,-6.104,-0.671,-7.996
-0.122,0.051,0.944,0.732,0.732,-5.981
-0.127,0.056,0.955,15.015,1.404,-6.165
-0.121,0.052,0.992,26.917,1.648,-6.653
-0.118,0.069,1.012,29.724,1.831,-6.409
-0.114,0.056,1.010,26.672,2.563,-7.507
-0.126,0.005,0.978,20.996,3.906,-8.301
-0.123,-0.020,0.943,14.282,2.930,-8.240
-0.120,-0.020,0.933,8.789,2.014,-6.958
-0.115,-0.019,0.936,5.859,0.977,-6.348
-0.116,-0.010,0.939,4.639,0.183,-6.104
-0.133,-0.027,0.949,3.601,-0.427,-5.737
-0.120,-0.051,0.968,3.052,-1.038,-5.188
-0.123,-0.045,0.978,2.441,-0.977,-4.028
-0.128,-0.056,0.985,3.052,-0.122,-3.235
-0.121,-0.068,0.986,3.723,0.854,-2.991
-0.115,-0.076,0.983,4.395,2.502,-1.770
-0.113,-0.068,0.967,6.226,4.639,-0.183
-0.111,-0.045,0.928,8.057,6.348,0.305
-0.118,-0.047,0.895,9.033,5.798,-0.244
-0.128,-0.058,0.875,6.470,2.441,-0.244
-0.132,-0.065,0.872,0.183,-1.892,0.916
-0.129,-0.069,0.894,-5.493,-5.493,2.380
-0.130,-0.043,0.930,-5.737,-7.568,3.723
-0.134,-0.008,0.979,-1.587,-7.568,3.845
-0.134,-0.000,1.009,2.258,-5.676,2.747
-0.140,-0.005,1.012,2.991,-2.930,2.136

-2.033,0.122,0.426,-3.357,6.958,-35.645
