aX,aY,aZ,gX,gY,gZ
0.911,0.054,0.013,-11.353,-18.372,-5.310
0.921,0.087,-0.082,-11.047,-9.888,-3.052
0.938,0.096,-0.161,-5.554,-4.333,-0.610
0.944,0.096,-0.198,-0.549,-1.282,1.587
0.938,0.114,-0.226,2.808,1.526,3.723
0.947,0.112,-0.236,5.676,4.761,5.554
0.953,0.098,-0.250,7.568,7.629,6.348
0.951,0.109,-0.271,7.080,9.644,7.507
0.974,0.134,-0.306,3.540,10.193,7.080
0.979,0.152,-0.325,-1.404,6.897,4.333
0.973,0.164,-0.329,-5.310,2.380,0.977
0.977,0.167,-0.330,-6.104,-0.610,-1.099
0.974,0.167,-0.319,-3.479,-2.869,-1.648
0.968,0.140,-0.289,2.136,-5.188,-1.587
0.962,0.108,-0.246,6.470,-6.409,-1.038
0.955,0.086,-0.218,8.057,-5.920,0.061
0.959,0.080,-0.204,8.057,-4.150,2.563
0.950,0.093,-0.197,7.019,-3.418,4.700
0.957,0.110,-0.217,4.395,-3.601,4.272
0.961,0.130,-0.227,0.610,-4.639,2.319
0.953,0.158,-0.229,-0.916,-6.104,0.488
0.953,0.172,-0.220,0.732,-6.287,-0.732
0.954,0.157,-0.200,5.371,-5.737,-1.465
0.957,0.129,-0.190,9.094,-4.150,-1.343
0.958,0.114,-0.168,11.414,-2.563,0.244
0.958,0.098,-0.148,10.376,-1.465,1.587
0.953,0.112,-0.156,7.202,0.000,2.869
0.960,0.132,-0.184,4.333,0.793,2.930
0.964,0.128,-0.203,2.930,0.732,1.709
0.955,0.129,-0.204,1.221,-0.122,0.916
0.955,0.128,-0.211,-0.732,-0.366,-0.305
0.956,0.131,-0.222,-1.404,0.244,-0.793
0.962,0.152,-0.248,-0.671,0.916,-0.793
0.967,0.138,-0.253,3.052,0.854,-1.038
0.967,0.110,-0.254,6.226,0.366,-1.282
0.969,0.103,-0.255,6.104,-0.488,-0.610
0.964,0.113,-0.256,4.211,-1.770,-0.427
0.962,0.113,-0.248,2.563,-3.784,-0.916
0.954,0.110,-0.233,0.916,-5.066,-1.282
0.955,0.117,-0.222,-0.671,-5.188,-1.160
0.953,0.126,-0.222,-1.709,-4.272,-1.221
0.963,0.120,-0.232,-0.977,-3.357,-1.648
0.964,0.114,-0.236,-0.183,-3.418,-1.953
0.962,0.119,-0.240,0.793,-3.845,-1.404
0.958,0.109,-0.227,3.540,-4.211,-0.854
0.968,0.098,-0.225,5.493,-3.906,-0.610
0.965,0.090,-0.225,5.676,-4.456,-0.305
0.961,0.087,-0.225,4.578,-4.456,0.305
0.963,0.096,-0.225,3.113,-3.723,0.610
0.959,0.112,-0.218,2.014,-3.601,1.221
0.957,0.122,-0.217,2.136,-3.052,1.465
0.957,0.122,-0.209,3.235,-2.563,1.709
0.956,0.118,-0.201,4.333,-2.563,1.160
0.957,0.121,-0.195,4.333,-1.770,1.038
0.960,0.121,-0.192,4.761,-1.038,1.709
0.954,0.118,-0.195,4.883,-0.305,2.258
0.960,0.125,-0.204,4.272,0.549,3.174
0.961,0.132,-0.214,3.479,0.610,3.418
0.959,0.129,-0.225,2.930,0.488,3.235
0.958,0.131,-0.242,1.648,0.671,3.052
0.965,0.150,-0.250,0.061,0.427,3.113
0.961,0.161,-0.240,0.488,-0.488,2.441
0.955,0.163,-0.235,2.258,-1.099,1.709

-0.298,-0.422,1.959,34.729,44.373,2.502
-0.337,-0.478,2.047,33.081,57.312,4.761
-0.369,-0.509,2.096,31.738,75.439,10.315
-0.402,-0.529,2.109,31.006,96.130,17.639
-0.439,-0.544,2.087,31.189,117.493,26.062
-0.467,-0.553,2.040,31.799,139.343,35.828
-0.503,-0.557,1.984,31.860,159.302,45.837
-0.542,-0.561,1.925,30.823,177.856,56.091
-0.583,-0.535,1.843,29.114,195.251,65.735
-0.619,-0.506,1.744,27.100,210.571,72.998
-0.657,-0.483,1.662,25.146,222.107,77.026
-0.691,-0.484,1.560,22.217,232.361,78.674
-0.710,-0.478,1.428,15.198,243.164,80.139
-0.719,-0.452,1.283,4.333,254.395,82.581
-0.725,-0.397,1.126,-5.859,266.174,86.243
-0.719,-0.342,0.940,-12.695,279.724,91.248
-0.691,-0.264,0.733,-15.137,292.236,96.619
-0.615,-0.203,0.510,-17.944,300.415,98.816
-0.517,-0.161,0.325,-23.010,301.025,96.191
-0.410,-0.130,0.172,-30.151,293.762,90.698
-0.274,-0.106,0.068,-39.124,280.762,83.313
-0.182,-0.071,0.007,-49.133,265.259,75.439
-0.106,-0.041,-0.006,-56.946,251.465,67.932
-0.051,-0.014,-0.032,-59.326,242.920,63.171
0.030,0.042,-0.060,-54.626,239.563,62.805
0.117,0.069,-0.082,-38.696,236.450,66.162
0.186,0.080,-0.131,-20.325,235.535,70.740
0.277,0.070,-0.173,-8.545,230.591,72.632
0.378,0.063,-0.197,-6.226,220.398,71.228
0.433,0.077,-0.212,-14.526,209.473,67.383
0.473,0.089,-0.223,-25.940,198.120,63.721
0.528,0.132,-0.237,-39.856,187.561,59.814
0.561,0.199,-0.272,-51.392,180.237,55.542
0.594,0.266,-0.301,-50.171,175.903,53.833
0.637,0.297,-0.327,-34.119,172.180,54.993
0.693,0.280,-0.337,-12.512,169.006,56.824
0.712,0.229,-0.319,4.395,162.720,57.739
0.734,0.167,-0.314,8.179,156.006,56.519
0.762,0.130,-0.297,-4.517,147.522,51.575
0.797,0.183,-0.308,-29.236,138.489,44.067
0.821,0.312,-0.397,-51.025,135.254,38.269
0.867,0.377,-0.491,-53.345,133.301,35.889
0.886,0.402,-0.576,-43.152,130.920,34.790
0.892,0.441,-0.641,-27.832,126.709,35.095
0.907,0.465,-0.691,-12.024,121.216,34.119
0.934,0.419,-0.708,3.601,115.417,30.151
0.954,0.343,-0.712,10.986,108.521,25.574
0.968,0.290,-0.709,5.066,100.525,21.362
0.985,0.283,-0.720,-10.437,94.116,18.311
0.980,0.280,-0.722,-25.146,90.149,16.785
0.992,0.260,-0.725,-30.823,87.952,18.372
0.985,0.258,-0.740,-31.311,86.670,20.996
0.983,0.255,-0.766,-26.489,82.886,22.827
0.992,0.251,-0.763,-18.127,75.317,23.132
1.017,0.245,-0.769,-12.390,62.500,20.508
1.024,0.241,-0.744,-11.230,45.349,14.709
1.021,0.238,-0.691,-12.207,27.222,7.812
1.010,0.232,-0.613,-12.756,11.353,1.709
0.994,0.218,-0.514,-11.597,-0.244,-2.625
0.976,0.213,-0.440,-8.362,-5.127,-3.906
0.976,0.192,-0.373,-1.404,-6.836,-3.113
0.968,0.166,-0.316,4.578,-7.263,-1.648
0.963,0.157,-0.259,6.531,-7.324,0.122
0.954,0.167,-0.213,4.944,-8.972,0.183
0.953,0.190,-0.187,0.061,-10.742,-2.441
0.959,0.198,-0.183,-3.906,-13.062,-5.798
0.962,0.200,-0.178,-4.517,-15.625,-9.033
0.957,0.190,-0.168,0.000,-17.151,-9.888
0.959,0.154,-0.148,7.690,-16.052,-9.033
0.965,0.111,-0.127,13.123,-13.611,-7.080
0.964,0.086,-0.113,13.367,-10.681,-4.395
0.964,0.096,-0.100,8.362,-8.484,-2.502
0.957,0.131,-0.105,1.221,-7.507,-1.648
0.953,0.177,-0.122,-3.723,-6.897,-1.770
0.957,0.205,-0.128,-4.333,-7.935,-2.808
0.954,0.211,-0.132,-1.770,-9.216,-3.723
0.958,0.192,-0.126,2.869,-8.789,-4.883
0.972,0.158,-0.127,6.897,-7.568,-5.615
0.974,0.120,-0.125,8.850,-5.920,-4.883
0.968,0.085,-0.121,10.498,-3.601,-3.052
0.970,0.073,-0.128,9.277,-1.038,-0.305
0.972,0.085,-0.140,4.517,-0.549,1.404
0.973,0.127,-0.163,-1.709,-2.075,1.038
0.972,0.179,-0.176,-5.066,-4.211,-0.061
0.968,0.211,-0.160,-2.625,-6.836,-0.549
0.968,0.215,-0.153,3.357,-8.240,-1.465
0.963,0.195,-0.142,9.033,-8.240,-2.319
0.964,0.153,-0.119,13.306,-7.935,-2.808
0.961,0.118,-0.089,11.658,-7.080,-2.991
0.958,0.099,-0.078,6.165,-5.127,-3.113
0.956,0.105,-0.081,0.061,-2.502,-2.686
0.958,0.121,-0.100,-3.357,-0.610,-1.465
0.967,0.142,-0.122,-4.944,0.671,-0.793
0.966,0.165,-0.135,-4.578,0.488,-0.427
0.970,0.176,-0.140,-2.258,-0.244,-0.916
0.973,0.166,-0.142,0.916,0.061,-1.648
0.976,0.143,-0.139,4.395,-0.305,-1.404
0.971,0.125,-0.132,5.005,-0.854,-1.587
0.969,0.111,-0.123,3.357,-1.343,-1.892
0.966,0.108,-0.118,0.244,-1.282,-2.014
0.966,0.122,-0.119,-2.930,-0.732,-1.770
0.963,0.143,-0.126,-4.456,-0.122,-1.648
0.967,0.157,-0.136,-2.991,0.549,-1.343
0.970,0.157,-0.147,0.732,0.732,-1.099
0.972,0.147,-0.151,3.723,0.793,-0.671
0.972,0.141,-0.151,3.540,0.061,-1.160
0.972,0.138,-0.147,0.977,-0.732,-2.014
0.973,0.141,-0.143,-0.549,-1.465,-2.258
0.967,0.142,-0.143,-1.526,-1.648,-2.319
0.967,0.142,-0.143,-2.197,-1.709,-2.502
0.968,0.147,-0.145,-2.380,-1.953,-2.563
0.970,0.150,-0.131,-1.282,-2.075,-2.136
0.963,0.139,-0.121,0.916,-1.221,-1.953
0.966,0.129,-0.117,3.052,0.000,-1.221
0.968,0.125,-0.125,3.601,0.671,-0.671
0.974,0.121,-0.139,2.930,0.671,-0.916
0.975,0.119,-0.145,0.977,-0.244,-1.343
0.974,0.125,-0.146,-0.793,-1.465,-1.770
0.972,0.142,-0.144,-1.221,-2.075,-1.709

-0.392,-0.341,2.113,49.133,41.870,10.376
-0.439,-0.402,2.214,49.316,57.556,14.526
-0.484,-0.436,2.268,46.997,77.881,20.020
-0.520,-0.450,2.264,41.138,101.868,26.550
-0.563,-0.443,2.215,35.583,126.526,33.447
-0.603,-0.435,2.143,31.494,149.109,39.734
-0.632,-0.448,2.069,29.785,169.128,46.631
-0.669,-0.432,1.972,26.489,188.721,53.772
-0.700,-0.406,1.862,22.034,206.482,59.753
-0.737,-0.371,1.738,18.005,221.741,64.514
-0.782,-0.327,1.634,14.465,233.826,67.871
-0.817,-0.288,1.510,10.864,242.554,69.214
-0.836,-0.233,1.398,4.211,250.549,68.359
-0.863,-0.182,1.321,-0.671,258.667,67.139
-0.902,-0.144,1.208,-0.305,269.165,68.298
-0.893,-0.110,1.084,5.554,283.447,72.021
-0.833,-0.098,0.880,11.597,299.133,76.050
-0.763,-0.094,0.675,13.367,310.425,77.332
-0.697,-0.098,0.481,9.583,315.308,77.209
-0.617,-0.060,0.290,2.014,315.491,76.111
-0.503,-0.039,0.153,-4.761,307.556,71.716
-0.419,-0.029,0.028,-12.207,298.767,65.430
-0.331,-0.016,-0.073,-18.005,290.405,61.462
-0.233,0.017,-0.155,-19.470,281.189,60.486
-0.098,0.062,-0.231,-17.639,273.621,61.707
0.018,0.090,-0.304,-13.733,267.151,61.951
0.155,0.105,-0.360,-12.695,259.094,61.890
0.262,0.115,-0.420,-15.869,251.038,60.852
0.361,0.147,-0.476,-24.902,242.920,59.937
0.441,0.193,-0.571,-36.926,233.521,55.603
0.554,0.255,-0.638,-49.927,220.581,47.485
0.663,0.264,-0.679,-56.091,203.308,38.086
0.734,0.285,-0.722,-55.664,188.782,31.677
0.803,0.314,-0.724,-46.692,175.781,30.945
0.855,0.326,-0.724,-28.137,164.490,34.241
0.913,0.336,-0.735,-6.897,158.081,39.673
0.961,0.307,-0.731,11.108,147.705,43.396
0.960,0.256,-0.674,16.602,132.874,40.344
0.953,0.211,-0.594,8.118,116.211,32.593
0.976,0.189,-0.547,-9.705,102.600,23.193
0.997,0.163,-0.523,-29.236,92.834,14.099
1.011,0.181,-0.571,-46.570,87.463,6.470
1.028,0.255,-0.634,-54.626,84.106,3.174
1.051,0.258,-0.658,-44.983,77.820,2.808
1.073,0.226,-0.677,-29.358,72.632,3.418
1.082,0.227,-0.674,-14.893,64.819,5.615
1.069,0.211,-0.623,-1.892,52.612,5.859
1.062,0.163,-0.551,6.531,41.138,3.540
1.052,0.121,-0.504,9.155,31.799,1.526
1.034,0.115,-0.420,7.202,22.400,-0.793
1.016,0.087,-0.312,5.615,13.428,-3.174
1.006,0.053,-0.213,5.249,9.705,-4.028
1.001,0.028,-0.156,5.920,9.766,-3.296
0.991,0.018,-0.114,7.263,10.925,-0.793
0.988,0.025,-0.087,8.972,11.536,3.174
0.970,0.033,-0.065,9.094,11.597,5.310
0.973,0.039,-0.064,6.958,12.085,5.554
0.981,0.057,-0.090,3.418,13.489,5.371
0.987,0.066,-0.110,1.099,13.855,4.944
0.993,0.078,-0.122,-0.732,12.939,4.456
1.001,0.071,-0.129,-0.549,11.902,4.028
1.001,0.057,-0.130,0.488,12.939,4.822
1.004,0.074,-0.128,1.587,13.855,7.141
1.001,0.081,-0.135,4.272,14.587,10.010
0.998,0.107,-0.154,7.141,15.869,13.367
0.985,0.139,-0.153,8.972,13.916,14.648
0.990,0.150,-0.146,8.606,10.742,11.963
0.994,0.148,-0.136,5.981,8.423,8.240
0.993,0.139,-0.118,1.587,5.554,4.822
0.996,0.143,-0.109,-3.479,3.357,1.892
0.995,0.165,-0.096,-5.981,2.197,0.671
0.996,0.166,-0.080,-2.014,1.648,1.465
0.998,0.133,-0.057,5.493,3.174,3.662
0.980,0.116,-0.039,11.353,5.188,7.507
0.965,0.116,-0.042,13.550,6.958,9.949
0.966,0.107,-0.056,11.719,8.057,8.484
0.983,0.104,-0.069,6.165,6.775,4.944
0.990,0.108,-0.081,-0.916,4.395,0.854
0.993,0.127,-0.098,-6.409,2.319,-1.038
0.988,0.149,-0.107,-6.836,0.854,-1.465
0.982,0.148,-0.100,-2.380,-0.244,-1.465
0.974,0.140,-0.069,2.441,-1.099,-0.671
0.966,0.119,-0.041,4.150,-1.648,-1.038
0.964,0.105,-0.032,0.916,-0.488,-2.258
0.968,0.102,-0.041,-4.944,0.793,-3.174
0.972,0.105,-0.053,-9.705,1.892,-3.662
0.985,0.109,-0.069,-12.146,2.808,-3.906
0.988,0.113,-0.079,-11.658,3.296,-3.723
0.989,0.114,-0.092,-9.094,2.625,-3.235
0.987,0.104,-0.090,-5.310,1.282,-3.174
0.981,0.091,-0.083,-1.709,0.549,-2.991
0.982,0.077,-0.069,0.916,-0.427,-2.380
0.983,0.068,-0.063,1.709,-0.793,-2.441
0.980,0.065,-0.059,1.892,-0.488,-2.258
0.977,0.065,-0.052,1.892,-0.305,-1.648
0.972,0.071,-0.047,0.427,0.183,-1.587
0.974,0.072,-0.051,-1.648,0.488,-2.197
0.978,0.079,-0.062,-3.235,0.854,-2.686
0.978,0.086,-0.068,-3.845,1.038,-2.747
0.980,0.088,-0.069,-3.113,1.282,-2.441
0.981,0.084,-0.059,-0.671,1.465,-1.709
0.980,0.064,-0.063,2.136,2.136,-1.221
0.984,0.052,-0.065,3.052,2.258,-0.671
0.978,0.056,-0.067,1.526,1.953,-0.244
0.985,0.064,-0.075,0.305,1.404,-0.061
0.987,0.068,-0.073,0.244,0.488,-0.122
0.985,0.070,-0.071,0.366,-0.244,-0.183
0.979,0.091,-0.072,0.732,-0.305,-0.061
0.980,0.090,-0.061,2.686,-0.610,0.305
0.977,0.074,-0.050,4.822,-0.488,0.549
0.981,0.068,-0.050,4.272,0.183,0.916
0.981,0.075,-0.053,2.319,0.488,1.465
0.980,0.080,-0.063,0.671,0.854,1.465
0.984,0.083,-0.076,0.122,2.014,1.587
0.982,0.093,-0.088,0.366,2.625,2.441
0.985,0.100,-0.101,0.977,2.686,2.686
0.986,0.098,-0.105,2.319,1.831,2.747
0.982,0.103,-0.097,2.441,0.000,2.197
0.979,0.106,-0.086,1.648,-1.831,0.977

-0.359,-0.335,2.230,37.354,46.570,0.061
-0.420,-0.400,2.353,32.349,63.171,1.770
-0.432,-0.434,2.408,24.902,85.510,6.775
-0.471,-0.417,2.374,15.137,112.427,13.184
-0.512,-0.384,2.286,9.766,138.489,20.020
-0.538,-0.363,2.177,12.146,164.062,29.053
-0.569,-0.365,2.064,18.799,186.829,37.720
-0.585,-0.361,1.942,21.484,204.407,45.776
-0.603,-0.369,1.809,18.250,219.482,49.805
-0.618,-0.397,1.674,9.094,228.577,52.551
-0.656,-0.350,1.538,-8.118,230.713,55.420
-0.704,-0.282,1.393,-27.527,232.910,54.932
-0.729,-0.227,1.229,-40.710,237.671,53.772
-0.719,-0.189,1.041,-47.180,246.399,53.894
-0.668,-0.136,0.811,-50.354,257.812,53.589
-0.619,-0.073,0.618,-56.702,262.512,51.392
-0.568,-0.028,0.498,-57.922,258.972,47.180
-0.489,0.016,0.409,-51.941,257.324,43.701
-0.370,0.033,0.322,-39.001,252.747,43.579
-0.291,0.058,0.240,-28.259,248.413,41.809
-0.224,0.076,0.192,-23.315,242.798,37.476
-0.163,0.082,0.163,-21.301,236.389,32.776
-0.096,0.071,0.163,-17.944,230.713,28.625
-0.024,0.036,0.083,-17.334,230.042,25.757
0.074,0.050,-0.041,-25.208,229.980,23.132
0.156,0.137,-0.171,-32.776,222.656,20.081
0.264,0.187,-0.182,-28.748,210.083,17.334
0.346,0.165,-0.162,-12.268,199.219,16.357
0.411,0.100,-0.110,6.470,192.871,19.958
0.463,0.076,-0.116,19.592,189.331,24.109
0.522,0.032,-0.153,21.423,183.533,25.757
0.580,0.030,-0.202,13.367,176.575,22.705
0.630,0.058,-0.233,1.709,168.396,19.409
0.693,0.080,-0.251,-3.418,163.147,18.494
0.753,0.102,-0.281,-0.549,159.607,21.057
0.789,0.122,-0.340,7.935,155.701,25.635
0.835,0.153,-0.381,14.526,147.949,28.687
0.870,0.175,-0.364,16.541,134.705,28.564
0.892,0.184,-0.350,13.123,125.488,25.513
0.924,0.189,-0.359,6.775,119.263,21.118
0.956,0.195,-0.373,-2.625,113.098,16.663
0.983,0.211,-0.396,-10.193,108.093,11.536
1.002,0.234,-0.434,-13.062,103.455,8.484
1.006,0.233,-0.448,-10.376,95.581,8.362
1.008,0.216,-0.443,-5.005,88.684,7.568
1.025,0.220,-0.464,-1.770,84.778,6.409
1.040,0.231,-0.477,-1.831,77.759,5.737
1.044,0.225,-0.492,-1.709,70.923,1.221
1.056,0.196,-0.490,-5.066,65.186,-3.113
1.078,0.194,-0.493,-10.437,57.556,-6.592
1.091,0.183,-0.482,-12.085,50.293,-9.705
1.079,0.173,-0.453,-9.705,44.861,-10.742
1.068,0.150,-0.405,-5.737,37.476,-9.460
1.059,0.113,-0.355,0.000,32.471,-9.827
