aX,aY,aZ,gX,gY,gZ
-0.187,0.298,1.056,25.452,-0.610,0.488
-0.170,0.289,1.038,36.682,1.953,-2.258
-0.175,0.269,1.015,43.396,4.272,-3.540
-0.174,0.232,0.990,43.457,4.395,-4.456
-0.172,0.208,0.959,37.048,3.357,-4.883
-0.176,0.169,0.935,28.198,3.235,-4.028
-0.181,0.139,0.922,18.127,2.686,-2.991
-0.182,0.123,0.920,9.216,2.197,-1.038
-0.184,0.125,0.921,3.723,0.793,0.427
-0.177,0.139,0.931,1.526,-1.831,-0.061
-0.167,0.141,0.951,1.099,-3.662,-1.099
-0.171,0.151,0.957,0.183,-3.418,-1.953
-0.183,0.153,0.968,-0.916,-2.014,-2.258
-0.171,0.152,0.972,-1.892,-0.977,-2.258
-0.163,0.145,0.967,-1.953,-0.244,-2.197
-0.152,0.138,0.969,-0.183,0.854,-1.282
-0.155,0.136,0.965,1.953,2.197,0.183
-0.166,0.144,0.947,4.395,2.869,1.831
-0.183,0.152,0.941,8.240,2.808,2.869
-0.183,0.153,0.923,13.000,1.892,2.930
-0.190,0.152,0.919,16.541,0.977,1.038
-0.179,0.147,0.932,18.127,0.977,-0.061
-0.176,0.155,0.937,16.602,0.732,-0.244
-0.176,0.144,0.949,14.648,0.427,-0.488
-0.157,0.141,0.959,12.268,0.610,-0.244
-0.160,0.142,0.953,9.521,1.221,1.099
-0.172,0.153,0.941,9.094,1.648,2.563
-0.186,0.150,0.932,10.742,1.160,2.441
-0.188,0.146,0.940,10.620,0.244,2.136
-0.191,0.153,0.941,7.690,-0.793,2.319
-0.197,0.151,0.944,3.662,-1.343,2.869
-0.197,0.135,0.952,-1.038,-1.892,2.441
-0.182,0.138,0.956,-4.822,-2.197,2.136
-0.180,0.137,0.956,-6.531,-1.343,1.831
-0.173,0.132,0.951,-5.920,0.366,1.282
-0.181,0.141,0.931,-3.845,2.441,1.221
-0.203,0.141,0.912,-0.305,3.662,1.343
-0.214,0.139,0.898,2.258,2.930,1.343
-0.210,0.144,0.893,3.113,1.038,1.953
-0.208,0.152,0.896,4.333,-0.793,2.319
-0.205,0.155,0.904,5.981,-3.357,1.221
-0.192,0.148,0.925,6.958,-5.066,-0.061
-0.175,0.143,0.948,5.554,-5.554,-0.244
-0.168,0.144,0.962,2.625,-4.944,0.427
-0.168,0.145,0.968,0.122,-3.967,1.160
-0.172,0.155,0.970,-1.221,-3.174,1.038
-0.176,0.150,0.970,-1.465,-2.014,0.000
-0.171,0.140,0.971,-1.160,-0.977,0.000
-0.177,0.134,0.965,-1.038,0.244,0.854
-0.180,0.123,0.956,-0.183,1.343,2.014
-0.183,0.118,0.941,1.099,2.808,2.808
-0.188,0.110,0.935,3.174,3.235,3.723
-0.189,0.118,0.933,4.089,2.747,4.639
-0.186,0.135,0.941,4.639,2.319,5.432
-0.187,0.147,0.945,4.272,1.648,5.188
-0.179,0.155,0.953,3.662,0.732,4.639
-0.174,0.160,0.957,2.441,0.488,4.333
-0.179,0.164,0.950,2.441,0.549,3.845
-0.177,0.157,0.952,4.028,0.488,3.296
-0.168,0.171,0.954,6.226,0.488,3.540
-0.178,0.193,0.957,8.545,0.061,3.784
-0.182,0.205,0.967,10.132,-0.427,2.686
-0.178,0.201,0.979,9.521,-0.610,1.526
-0.180,0.187,0.983,7.324,0.244,1.099
-0.188,0.169,0.976,6.104,0.427,1.038
-0.195,0.149,0.969,6.104,0.488,0.793
-0.187,0.138,0.965,7.507,0.183,0.305
-0.184,0.142,0.964,7.996,-0.183,0.000
-0.182,0.141,0.964,6.714,-0.122,0.244
-0.183,0.141,0.965,2.869,0.366,0.610
-0.187,0.142,0.953,-0.488,0.732,1.343
-0.200,0.135,0.942,-1.404,0.793,1.526

-2.130,0.698,0.679,0.122,-18.677,-28.625
-2.546,0.840,0.665,-55.542,-28.198,-17.578
-2.745,0.720,0.932,-99.182,-54.810,-36.255
-2.357,0.406,1.256,-114.441,-93.018,-84.595
-1.551,-0.082,1.538,-86.792,-121.338,-135.986
-0.738,-0.526,1.704,-15.076,-124.329,-158.569
-0.211,-0.785,1.620,78.491,-88.501,-151.794
-0.143,-0.870,1.420,160.156,-41.931,-134.888
-0.246,-0.922,1.204,192.993,1.282,-108.215
-0.417,-0.901,1.057,161.804,40.833,-65.247
-0.634,-0.844,0.906,83.740,54.688,-17.212
-0.587,-0.645,0.772,-4.272,46.204,19.714
-0.465,-0.324,0.724,-61.401,38.757,47.363
-0.490,-0.024,0.755,-72.815,36.499,66.956
-0.448,0.278,0.857,-54.504,36.438,75.256
-0.383,0.586,0.884,-23.560,35.339,73.792
-0.369,0.748,0.884,10.803,33.936,63.965
-0.307,0.830,0.877,36.621,34.729,49.561
-0.274,0.889,0.802,46.204,36.011,35.461
-0.285,0.856,0.743,40.527,36.865,20.996
-0.293,0.726,0.701,20.447,32.227,6.592
-0.284,0.540,0.686,-7.446,23.376,-2.930
-0.286,0.352,0.701,-32.715,12.939,-6.348
-0.276,0.213,0.731,-47.302,2.380,-7.080
-0.268,0.110,0.793,-46.814,-7.629,-6.042
-0.279,0.095,0.869,-36.072,-16.785,-3.723
-0.287,0.134,0.940,-20.203,-24.170,-2.930
-0.281,0.151,1.007,-3.174,-29.236,-3.113
-0.255,0.159,1.082,9.705,-30.212,-2.869
-0.232,0.184,1.105,16.174,-28.442,-1.343
-0.221,0.182,1.103,19.714,-25.330,1.404
-0.190,0.175,1.102,21.667,-19.470,3.784
-0.167,0.184,1.072,22.827,-12.451,5.554
-0.169,0.194,1.026,25.879,-5.859,6.653
-0.183,0.191,0.987,30.090,-0.916,5.920
-0.197,0.182,0.948,30.518,1.709,4.578
-0.218,0.174,0.913,25.208,2.991,4.395
-0.219,0.160,0.891,16.724,2.380,4.028
-0.219,0.150,0.895,8.362,1.099,3.845
-0.219,0.170,0.898,1.465,-1.404,3.479
-0.210,0.178,0.903,-2.258,-4.517,1.282
-0.202,0.182,0.913,-2.869,-6.042,-0.977
-0.203,0.180,0.934,-2.441,-6.531,-2.441
-0.196,0.179,0.962,-2.014,-6.348,-3.235
-0.207,0.169,0.987,-1.587,-5.493,-3.662
-0.207,0.134,1.014,-1.038,-3.723,-3.967
-0.200,0.097,1.015,-1.587,-0.610,-3.601
-0.198,0.069,0.999,-1.709,1.831,-2.441
-0.209,0.038,0.973,-0.427,4.211,0.366
-0.220,0.024,0.959,0.977,5.005,3.601
-0.219,0.033,0.949,2.197,4.395,6.531
-0.215,0.047,0.943,5.127,3.418,8.179
-0.204,0.072,0.943,10.132,3.052,8.850
-0.213,0.094,0.939,15.137,2.869,8.606
-0.226,0.107,0.945,16.052,2.625,8.484
-0.226,0.114,0.950,12.573,1.282,7.996
-0.222,0.113,0.949,7.019,0.305,6.958
-0.220,0.105,0.950,2.258,0.000,5.981
-0.208,0.105,0.948,-0.061,0.122,5.310
-0.214,0.109,0.945,0.793,0.671,4.395
-0.224,0.098,0.956,2.014,0.854,4.028
-0.228,0.098,0.966,1.648,0.977,3.906
-0.225,0.118,0.966,0.671,0.610,3.357
