aX,aY,aZ,gX,gY,gZ
-1.066,0.070,-0.258,-49.194,403.259,101.807
-0.957,0.106,-0.304,-42.053,377.869,89.844
-0.835,0.090,-0.318,-23.499,360.352,83.313
-0.674,0.057,-0.346,-1.709,348.572,83.130
-0.523,0.093,-0.380,12.573,339.844,85.266
-0.395,0.110,-0.419,20.142,329.956,85.632
-0.295,0.111,-0.471,19.409,319.702,80.444
-0.144,0.103,-0.534,9.644,308.655,72.083
-0.010,0.093,-0.630,-7.568,299.194,62.195
0.147,0.068,-0.729,-23.926,291.077,54.565
0.289,0.088,-0.835,-33.569,280.701,51.819
0.419,0.182,-0.889,-36.926,269.531,50.354
0.415,0.224,-0.922,-25.208,257.385,48.950
0.338,0.244,-0.926,-11.658,246.399,46.936
0.315,0.253,-0.892,-1.892,234.497,44.128
0.344,0.225,-0.877,5.554,225.830,41.504
0.402,0.191,-0.858,9.155,220.642,40.100
0.430,0.200,-0.890,6.775,215.271,38.635
0.463,0.237,-0.932,5.432,209.656,37.354
0.482,0.280,-0.974,11.841,201.599,35.583
0.531,0.295,-0.972,22.705,190.857,31.982
0.557,0.241,-0.920,33.447,178.223,26.611
0.547,0.203,-0.878,38.452,168.945,24.231
0.527,0.211,-0.875,35.461,164.490,25.024
0.510,0.260,-0.928,28.931,165.100,26.367
0.531,0.342,-1.025,24.841,167.847,27.161
0.538,0.403,-1.155,28.198,169.556,26.733
0.573,0.402,-1.280,36.560,169.495,26.672
0.586,0.367,-1.385,43.945,163.147,26.306
0.614,0.326,-1.497,42.603,152.527,22.461
0.662,0.302,-1.580,35.034,138.916,17.395
0.689,0.282,-1.635,30.884,121.338,13.550
0.711,0.255,-1.665,32.288,102.966,12.878
0.721,0.254,-1.651,37.842,84.167,15.320
0.721,0.270,-1.590,42.542,63.904,18.799
0.709,0.287,-1.493,43.274,43.823,19.287
0.714,0.297,-1.391,37.964,24.170,16.479
0.729,0.309,-1.258,28.564,5.066,11.780
0.726,0.300,-1.129,18.982,-12.024,6.714
0.726,0.318,-1.018,12.756,-24.780,3.174
0.728,0.335,-0.900,12.207,-34.058,1.770
